layer,cycle,held,distinct_real,distinct_shuffled
26,7,196608,196608,196608
26,8,98304,98304,98304
26,9,49152,49152,49152
26,10,24576,24576,24576
26,11,12288,12288,12288
26,12,6144,6144,6144
27,1,12582912,15876,15876
27,2,6291456,5594476,5628342
27,3,3145728,3145728,3145728
27,4,1572864,1572864,1572864
27,5,786432,786432,786432
27,6,393216,393216,393216
27,7,196608,196608,196608
27,8,98304,98304,98304
27,9,49152,49152,49152
27,10,24576,24576,24576
27,11,12288,12288,12288
27,12,6144,6144,6144
