slot,core_id,band,plus,minus,plane
61,61,35,1266901,1270042,yes
62,62,32,1371770,1372074,yes
63,63,32,772711,770493,yes
64,64,31,771128,760058,yes
65,65,36,1830746,1837451,yes
66,66,33,2563656,2581253,yes
67,67,36,2150618,2155906,yes
68,68,33,1920442,1926568,yes
69,69,35,2635795,2645256,yes
70,70,35,1721917,1729690,yes
71,71,35,2195094,2197720,yes
72,72,33,2229046,2231524,yes
73,73,31,52412,49593,yes
74,74,32,1365771,1364516,yes
75,75,32,1469238,1463596,yes
76,76,37,1365192,1374414,yes
77,77,39,2775974,2786477,yes
78,78,32,762874,760145,yes
79,79,37,2972817,2980620,yes
80,80,30,396178,400096,yes
81,70,34,768556,777084,yes
82,81,35,1895808,1900451,yes
83,82,35,758306,759942,yes
84,83,35,1846040,1846268,yes
85,84,34,1529455,1534627,yes
86,85,33,1987430,1992374,yes
87,86,29,203200,196324,yes
88,87,34,1890173,1893836,yes
89,88,33,1344252,1348055,yes
90,15,32,394864,398775,yes
91,89,35,3327773,3332091,yes
92,90,33,2269756,2271770,yes
93,91,35,1336210,1342296,yes
94,92,35,3021929,3030779,yes
95,93,35,3431931,3435474,yes
96,94,33,759328,760073,yes
97,95,30,98734,97695,yes
98,96,35,1983144,1985831,yes
99,97,32,392664,396631,yes
100,98,33,2061837,2057202,yes
101,99,38,1235969,1242386,yes
102,100,33,2507959,2505840,yes
103,101,33,2576269,2580136,yes
104,102,32,1389893,1390843,yes
105,103,34,1992928,1997671,yes
106,104,37,2115173,2120391,yes
107,105,34,3251038,3256836,yes
108,106,33,774680,786370,yes
109,107,35,2456524,2463464,yes
110,108,37,798016,800532,yes
111,109,35,2731116,2737670,yes
112,110,34,2472857,2485272,yes
113,111,32,1401821,1404521,yes
114,112,35,552175,551317,yes
115,113,35,1096508,1099142,yes
116,114,32,1337157,1339803,yes
117,115,34,1465175,1473753,yes
118,116,32,1424674,1423677,yes
119,117,35,918251,920354,yes
120,118,34,2127936,2131185,yes
121,119,31,390617,391616,yes
122,120,32,1484041,1482060,yes
123,82,36,1928353,1938596,yes
124,121,32,756981,768781,yes
125,122,34,2289774,2298377,yes
126,123,38,1109690,1113401,yes
127,124,31,772745,788487,yes
128,125,35,2249178,2255325,yes
129,126,35,769258,774757,yes
130,127,32,102174,106171,yes
131,128,33,2374748,2375665,yes
132,129,32,747555,753463,yes
133,130,30,397766,388714,yes
134,131,34,1389031,1393454,yes
135,132,34,3100372,3109805,yes
136,133,36,1953163,1959730,yes
137,134,34,1666838,1670838,yes
138,135,35,694305,695088,yes
139,136,32,1441913,1448428,yes
140,137,30,392075,403899,yes
141,138,36,1181197,1185202,yes
142,139,34,2902636,2903560,yes
143,140,30,390141,391315,yes
144,141,35,1559847,1564055,yes
145,142,38,1684015,1688308,yes
146,143,35,1268339,1275737,yes
147,144,33,2483083,2476736,yes
148,145,31,777112,769206,yes
149,146,37,1911090,1913946,yes
150,147,34,2154856,2157537,yes
151,148,33,1972999,1977685,yes
152,149,32,781939,762727,yes
153,150,35,2084993,2090390,yes
154,151,33,2214246,2219494,yes
155,152,31,747642,747970,yes
156,153,32,759189,789293,yes
157,154,32,1408757,1413209,yes
158,155,31,754128,761886,yes
159,156,30,400769,389144,yes
160,157,33,2601718,2611099,yes
161,158,32,1394831,1402387,yes
162,159,37,2326475,2330488,yes
163,160,30,101774,98293,yes
164,161,29,195455,196106,yes
165,162,37,1459854,1454615,yes
166,163,34,3459839,3457113,yes
167,164,34,3298090,3314025,yes
168,165,33,2514430,2519648,yes
169,166,33,2410393,2417246,yes
170,167,33,2295405,2296474,yes
171,168,33,2083624,2084419,yes
172,169,35,1479432,1491286,yes
173,170,33,1476922,1467777,yes
174,171,34,2340407,2345139,yes
175,172,39,2222642,2224329,yes
176,173,35,2276778,2281278,yes
177,174,35,585105,585742,yes
178,175,29,102989,98405,yes
179,176,37,2231242,2239767,yes
180,177,27,53199,49054,yes
181,178,34,1811381,1819444,yes
182,179,31,393079,392539,yes
183,180,33,1457126,1482015,yes
184,181,33,1370329,1381646,yes
185,182,34,1737852,1743288,yes
186,183,35,1648886,1654873,yes
187,184,37,1616316,1619749,yes
188,185,35,3222136,3231291,yes
189,186,35,2595452,2597711,yes
190,187,35,2559008,2561958,yes
191,188,34,2711020,2717839,yes
192,189,33,1961130,1964670,yes
193,190,36,1686383,1687028,yes
194,191,34,1969299,1974359,yes
195,192,33,2595634,2599127,yes
196,193,28,97940,98260,yes
197,194,28,102015,101820,yes
198,195,33,2550528,2550823,yes
199,196,32,1412128,1407461,yes
200,197,32,1488576,1495350,yes
201,198,33,2365807,2370106,yes
202,199,37,1232415,1238666,yes
203,200,36,3071462,3077673,yes
204,201,35,1450059,1455333,yes
205,202,33,1852695,1860580,yes
206,203,34,2427809,2425830,yes
207,204,35,1140040,1144074,yes
208,205,36,1053769,1056823,yes
209,206,28,98951,98094,yes
210,207,29,195387,196254,yes
211,208,34,3144747,3157224,yes
212,209,36,2496620,2505051,yes
213,210,26,24284,24602,yes
214,211,30,195688,200418,yes
215,212,30,203706,195855,yes
216,213,35,1481281,1488700,yes
217,214,34,1599670,1603670,yes
218,215,34,1873208,1868167,yes
219,216,35,2303551,2305226,yes
220,217,34,2850681,2853005,yes
221,218,30,397218,394930,yes
222,219,33,2147972,2153636,yes
223,220,35,1878457,1879565,yes
224,221,31,781737,777946,yes
225,222,31,402939,401700,yes
226,223,33,1861983,1865563,yes
227,224,35,2023134,2031522,yes
228,225,30,394174,401686,yes
229,226,33,2206298,2204395,yes
230,227,33,2111849,2113928,yes
231,228,35,1797512,1799755,yes
232,229,34,2801729,2812695,yes
233,230,34,1496277,1500734,yes
234,231,34,1704496,1705298,yes
235,232,32,1459460,1455929,yes
236,233,31,776030,779022,yes
237,234,33,2242506,2248874,yes
238,235,32,1372798,1372939,yes
239,236,29,203715,196690,yes
240,237,37,2590418,2594351,yes
241,238,34,1332515,1338380,yes
242,239,34,1095046,1098338,yes
243,240,32,387596,389615,yes
244,241,34,2345472,2347604,yes
245,242,34,2997861,3001116,yes
246,243,34,2949397,2956312,yes
247,244,34,2602570,2601212,yes
248,245,35,2354222,2361671,yes
249,246,36,1987059,1991390,yes
250,247,30,394749,395141,yes
251,248,39,1480068,1483663,yes
252,249,27,24590,28232,yes
253,94,34,1146138,1150460,yes
254,250,35,1581769,1587449,yes
255,251,31,761231,770415,yes
256,252,32,1462581,1487861,yes
257,253,30,200563,199192,yes
258,254,31,751590,752585,yes
259,255,30,200362,195886,yes
260,256,33,1336835,1338301,yes
261,257,34,2753822,2757135,yes
262,258,34,2472800,2470317,yes
263,259,34,1454235,1459939,yes
264,260,33,2589754,2589144,yes
265,261,32,749175,763019,yes
266,262,34,2611327,2619679,yes
267,263,32,749961,756055,yes
268,264,30,401061,393875,yes
269,265,38,2010216,2017920,yes
270,266,30,391949,413494,yes
271,97,33,1937863,1938768,yes
272,7,34,2660344,2667356,yes
273,267,34,1340530,1345387,yes
274,268,35,2924853,2929617,yes
275,269,41,2664205,2670058,yes
276,44,33,764275,772288,yes
277,270,34,1429419,1431183,yes
278,271,34,2044451,2052803,yes
279,272,31,749929,749777,yes
280,273,36,1852006,1853236,yes
281,274,34,1774194,1779768,yes
282,275,34,2548385,2545719,yes
283,276,30,389577,397763,yes
284,277,31,390156,396526,yes
285,278,36,2281365,2283028,yes
286,279,34,1928066,1934721,yes
287,280,38,2407191,2411700,yes
288,281,37,1129606,1132809,yes
289,106,34,2434154,2437121,yes
290,282,36,2875173,2882819,yes
291,283,31,774061,769077,yes
292,284,34,2237633,2243166,yes
293,285,36,845899,849675,yes
294,286,32,1383980,1380293,yes
295,287,34,2445714,2447839,yes
296,288,32,1385864,1375896,yes
297,289,33,2015587,2023545,yes
298,37,34,3406990,3413782,yes
299,290,30,395527,396126,yes
300,291,33,1951926,1951987,yes
301,292,37,3378318,3385065,yes
302,293,34,1864957,1867603,yes
303,294,33,2027626,2031541,yes
304,295,33,1353821,1353641,yes
305,296,34,3451969,3460456,yes
306,297,32,1399139,1400279,yes
307,298,35,1869172,1876083,yes
308,299,34,2176000,2177179,yes
309,300,32,1398042,1397488,yes
310,301,32,1433108,1432395,yes
311,302,39,1373413,1375782,yes
312,303,33,2161636,2170149,yes
313,304,34,3491684,3500571,yes
314,126,36,1549637,1552782,yes
315,305,32,1348939,1352864,yes
316,306,31,773823,767012,yes
317,259,35,321124,322088,yes
318,307,34,2085111,2092929,yes
319,308,33,1881442,1885950,yes
320,309,34,1915176,1921621,yes
321,310,33,401124,403310,yes
322,311,29,209052,201161,yes
323,312,36,2486763,2488966,yes
324,160,31,755260,751217,yes
325,21,32,212822,199764,yes
326,313,33,2281563,2285121,yes
327,314,34,2384971,2396064,yes
328,315,33,756735,760179,yes
329,316,39,1031793,1036039,yes
330,317,32,1466088,1454931,yes
331,318,31,391376,395817,yes
332,319,33,2318092,2322572,yes
333,320,33,750817,757537,yes
334,321,28,97961,97941,yes
335,322,36,755404,750940,yes
336,323,33,2138101,2138409,yes
337,324,24,6254,6386,yes
338,316,40,894020,896182,yes
339,325,36,1296485,1299582,yes
340,326,33,2104187,2100893,yes
341,327,36,1603067,1603958,yes
342,328,36,2320478,2326349,yes
343,329,35,2511790,2514746,yes
344,330,33,1397337,1403690,yes
345,331,38,448655,449281,yes
346,310,34,1841898,1847412,yes
347,332,33,1419882,1420185,yes
348,333,35,2453760,2459914,yes
349,334,32,1419263,1415733,yes
350,335,35,1898503,1904377,yes
351,336,31,406794,392563,yes
352,337,36,1767599,1771020,yes
353,338,30,206965,203576,yes
354,339,31,757940,774439,yes
355,340,31,797990,776379,yes
356,14,33,768369,763517,yes
357,341,34,1369002,1374070,yes
358,342,33,1369322,1371505,yes
359,343,33,1853503,1855829,yes
360,344,36,3471863,3482439,yes
361,345,26,24615,28106,yes
362,346,35,1416969,1415415,yes
363,347,36,1303932,1306722,yes
364,348,37,636313,636686,yes
365,349,35,1336526,1336961,yes
366,350,34,1225796,1225339,yes
367,351,33,2599473,2602669,yes
368,352,36,2060408,2065600,yes
369,353,36,3275235,3284235,yes
370,354,34,1381557,1383492,yes
371,355,32,797636,765569,yes
372,251,30,98110,98019,yes
373,356,34,1250824,1254396,yes
374,357,32,1477653,1475336,yes
375,358,35,1385049,1392066,yes
376,359,37,2540056,2536117,yes
377,360,34,2255999,2261723,yes
378,361,31,394257,401235,yes
379,328,35,778516,792264,yes
380,178,33,782360,767846,yes
381,362,34,2527916,2524602,yes
382,363,30,196628,200077,yes
383,364,33,1894934,1900715,yes
384,365,35,1453899,1444486,yes
385,366,31,774047,775819,yes
386,367,30,398428,394270,yes
387,368,34,2209791,2219244,yes
388,369,30,433302,442643,yes
389,370,33,1435953,1424206,yes
390,371,28,101889,97785,yes
391,372,34,1448996,1437138,yes
392,373,32,1344143,1349978,yes
393,374,29,207256,196377,yes
394,375,34,2316583,2316791,yes
395,376,35,1928818,1932439,yes
396,377,35,3481419,3499247,yes
397,378,31,767641,765312,yes
398,379,32,1454465,1445585,yes
399,380,32,773077,784107,yes
400,381,34,1562822,1566956,yes
401,382,34,1477357,1476789,yes
402,383,34,1435473,1439513,yes
403,384,34,2268474,2263584,yes
404,385,36,1341170,1341151,yes
405,386,33,749561,748172,yes
406,387,36,1084141,1087290,yes
407,388,36,2176023,2172404,yes
408,389,31,746693,753058,yes
409,390,35,970677,971615,yes
410,391,34,2568623,2572172,yes
411,392,32,392479,389353,yes
412,393,35,2033680,2037572,yes
413,394,27,25038,24219,yes
414,395,29,204088,199402,yes
415,396,29,48892,52524,yes
416,397,34,1449462,1453994,yes
417,398,35,1809138,1816068,yes
418,399,30,398279,389229,yes
419,400,36,2584808,2580467,yes
420,401,32,1365077,1353675,yes
421,402,35,1158272,1157609,yes
422,403,34,1399641,1407589,yes
423,404,32,1424020,1428788,yes
424,405,32,768741,768959,yes
425,406,34,1280879,1287306,yes
426,407,32,756083,760168,yes
427,408,33,774041,760776,yes
428,409,32,776866,771419,yes
429,410,32,1397359,1399545,yes
430,411,26,25952,24426,yes
431,35,34,777172,779515,yes
432,412,31,768217,766758,yes
433,413,34,2126415,2136404,yes
434,414,34,1348674,1350799,yes
435,415,33,2448398,2456850,yes
436,416,32,1338037,1348482,yes
437,417,34,2569563,2575356,yes
438,418,33,1418761,1427149,yes
439,419,35,2146778,2145684,yes
440,420,35,870772,871813,yes
441,421,33,2351576,2358263,yes
442,392,33,2333196,2340660,yes
443,422,29,199360,199462,yes
444,423,30,394261,405641,yes
445,424,33,1449507,1438377,yes
446,425,31,394919,401122,yes
447,426,38,100883,100528,yes
448,427,34,1418227,1405737,yes
449,428,31,748752,743558,yes
450,429,34,2022910,2026670,yes
451,430,27,49509,49501,yes
452,431,30,402102,392017,yes
453,432,31,776223,774035,yes
454,433,32,1453079,1462286,yes
455,434,30,391624,407118,yes
456,115,33,771106,770704,yes
457,435,33,1452056,1462914,yes
458,436,33,1375566,1382631,yes
459,437,30,203070,199352,yes
460,438,35,1400022,1409988,yes
461,439,31,763377,761852,yes
462,440,32,1513855,1483256,yes
463,441,36,1416037,1421348,yes
464,442,34,1967133,1970874,yes
465,443,28,48795,57137,yes
466,444,32,1387950,1395463,yes
467,445,33,2187443,2193011,yes
468,446,29,219256,204094,yes
469,447,33,1844400,1847044,yes
470,448,32,1329845,1334167,yes
471,449,36,944841,945887,yes
472,450,26,3021,3174,yes
473,451,36,1171275,1174522,yes
474,452,31,391554,391715,yes
475,453,32,1478229,1479510,yes
476,454,31,776738,775319,yes
477,455,28,24845,24535,yes
478,456,32,754461,761495,yes
479,457,31,781455,790173,yes
480,458,33,2253367,2261833,yes
481,459,31,762527,763562,yes
482,460,36,400070,392622,yes
483,461,32,1468164,1471488,yes
484,169,36,674849,675709,yes
485,462,34,2182802,2190114,yes
486,463,29,200595,196316,yes
487,464,38,1757942,1763212,yes
488,465,32,1328743,1338477,yes
489,466,34,2101812,2104079,yes
490,180,32,102877,102430,yes
491,467,31,407619,386714,yes
492,468,34,1850888,1858754,yes
493,455,29,199400,196200,yes
494,408,34,1167883,1172679,yes
495,469,30,196970,195287,yes
496,470,31,762537,759420,yes
497,471,29,199899,196407,yes
498,472,31,768565,778069,yes
499,473,34,2076673,2076949,yes
500,474,30,203700,196356,yes
501,475,36,474114,477167,yes
502,476,35,2188929,2198170,yes
503,477,30,199317,196502,yes
504,478,37,994357,999219,yes
505,479,34,1143186,1144618,yes
506,480,33,1360940,1361728,yes
507,438,34,200832,196836,yes
508,481,32,1433595,1428703,yes
509,482,31,197224,200021,yes
510,483,29,199899,200273,yes
511,484,32,1480311,1475330,yes
512,485,27,49328,48841,yes
513,486,36,1425546,1428273,yes
514,487,35,1025385,1029922,yes
515,488,30,397844,389077,yes
516,489,38,3171602,3182077,yes
517,490,38,713818,714117,yes
518,491,32,1412817,1409762,yes
519,492,31,738497,737731,yes
520,493,34,2297660,2302371,yes
521,388,35,389718,392629,yes
522,494,30,208071,204250,yes
523,495,29,102066,98157,yes
524,496,31,773791,788813,yes
525,497,33,2121399,2127802,yes
526,498,32,1367035,1364945,yes
527,499,30,195665,203498,yes
528,500,41,352858,352409,yes
529,501,29,98469,102279,yes
530,502,29,98277,98075,yes
531,503,40,1901451,1904423,yes
532,504,32,1442356,1456158,yes
533,505,37,1852140,1858721,yes
534,506,36,2680997,2692513,yes
535,507,33,2176432,2179369,yes
536,508,32,1349555,1349196,yes
537,509,32,1453399,1453607,yes
538,510,34,1887636,1897264,yes
539,511,35,1410164,1413250,yes
540,512,30,391807,412708,yes
541,73,32,780360,782931,yes
542,202,32,389297,396698,yes
543,513,28,52618,49267,yes
544,514,31,391675,399070,yes
545,515,33,744464,755182,yes
546,516,29,101855,106700,yes
547,517,30,398737,394915,yes
548,518,29,200505,199718,yes
549,519,32,762244,768112,yes
550,34,31,99105,97836,yes
551,520,33,2307648,2312224,yes
552,521,26,12292,12342,yes
553,522,37,1353213,1361723,yes
554,523,33,2037931,2045014,yes
555,524,33,1331707,1332635,yes
556,525,30,399823,396051,yes
557,526,29,195970,203718,yes
558,527,31,746510,746418,yes
559,528,33,1910887,1908466,yes
560,529,32,1449022,1444012,yes
561,530,33,765827,761087,yes
562,531,27,24551,24424,yes
563,532,33,1437283,1446458,yes
564,533,35,1353121,1350844,yes
565,534,31,765888,763033,yes
566,535,31,401303,392009,yes
567,536,36,755028,755165,yes
568,537,35,655377,657128,yes
569,77,38,556984,567367,yes
570,538,31,787826,776906,yes
571,539,31,783989,782671,yes
572,540,33,2002435,2004316,yes
573,541,31,787116,778814,yes
574,542,30,399234,398882,yes
575,543,34,1367027,1373184,yes
576,544,29,200290,195493,yes
577,545,34,2216190,2217388,yes
578,546,30,407773,396778,yes
579,191,33,389434,397961,yes
580,547,40,2068617,2073881,yes
581,91,34,753205,761370,yes
582,548,26,12354,12403,yes
583,549,29,195145,196574,yes
584,550,30,101594,98635,yes
585,551,29,202578,195893,yes
586,552,32,763996,771045,yes
587,553,30,400634,393695,yes
588,554,31,759967,753090,yes
589,555,31,770886,779535,yes
590,556,32,768843,784453,yes
591,557,32,1465275,1475021,yes
592,42,33,402432,394307,yes
593,385,35,196543,200281,yes
594,558,36,1474919,1475525,yes
595,559,32,1357753,1361598,yes
596,560,31,401068,395147,yes
597,561,29,207750,200584,yes
598,562,24,6300,6278,yes
599,563,30,387049,394635,yes
600,564,31,399491,392664,yes
601,174,34,1488007,1477600,yes
602,565,25,6017,6295,yes
603,566,29,49893,48594,yes
604,567,28,98033,98161,yes
605,568,32,763475,769754,yes
606,569,32,1410522,1413876,yes
607,570,32,1331646,1333888,yes
608,571,28,98224,98527,yes
609,572,31,767211,763853,yes
610,573,35,1460305,1468832,yes
611,574,31,762325,757941,yes
612,575,33,1352901,1368212,yes
613,576,31,764948,765715,yes
614,460,37,1896112,1905927,yes
615,577,31,393506,395384,yes
616,322,37,1520207,1524732,yes
617,578,32,387345,397615,yes
618,579,31,752866,760664,yes
619,580,27,49025,49178,yes
620,146,36,776794,783455,yes
621,581,31,416367,405052,yes
622,306,30,98102,98387,yes
623,582,33,2443485,2440621,yes
624,583,32,1412584,1428877,yes
625,584,34,755889,760638,yes
626,208,33,395218,387545,yes
627,585,31,780933,771665,yes
628,586,28,102314,99509,yes
629,323,32,399163,402064,yes
630,305,31,200637,203397,yes
631,451,35,754785,754696,yes
632,587,36,534788,535312,yes
633,588,29,200073,207419,yes
634,584,35,1722905,1735071,yes
635,589,28,102153,98459,yes
636,590,42,1459190,1464697,yes
637,591,33,1448042,1450213,yes
638,482,32,1380690,1376025,yes
639,592,33,1332297,1340019,yes
640,226,32,396972,389521,yes
641,593,32,1367083,1365861,yes
642,594,35,1202667,1207954,yes
643,595,34,1196072,1199882,yes
644,596,31,203545,195605,yes
645,597,32,1439119,1442072,yes
646,598,27,48907,49287,yes
647,599,30,388602,392862,yes
648,600,27,53627,48638,yes
649,601,29,196896,197564,yes
650,602,30,386748,396055,yes
651,603,30,397851,390913,yes
652,604,29,195862,206817,yes
653,127,33,1504908,1496483,yes
654,605,37,243590,244354,yes
655,606,32,778616,781304,yes
656,558,37,504667,504834,yes
657,607,31,781765,780009,yes
658,608,34,1334807,1330204,yes
659,609,25,12607,12283,yes
660,610,35,408738,408426,yes
661,540,32,396300,393047,yes
662,368,33,766038,772864,yes
663,611,33,752155,769741,yes
664,31,33,771281,771553,yes
665,612,35,734405,735970,yes
666,613,31,755615,755008,yes
667,614,30,204886,195750,yes
668,615,30,391323,387658,yes
669,616,33,1438344,1436618,yes
670,617,31,850114,850201,yes
671,393,34,400649,393671,yes
672,618,32,805626,803409,yes
673,619,29,196294,200037,yes
674,620,30,388820,394202,yes
675,621,31,765602,776971,yes
676,622,30,393070,394020,yes
677,623,32,784864,772998,yes
678,624,29,207220,200008,yes
679,625,37,88355,88444,yes
680,626,31,772798,754395,yes
681,529,31,194764,195730,yes
682,627,35,340410,340646,yes
683,628,30,201093,201025,yes
684,629,33,1383934,1385144,yes
685,630,30,393910,398603,yes
686,631,31,768144,771792,yes
687,632,36,2379199,2385498,yes
688,99,37,762607,778562,yes
689,633,35,250257,252058,yes
690,634,35,1373513,1379358,yes
691,635,32,1333050,1336782,yes
692,636,30,393779,397568,yes
693,637,31,780502,792020,yes
694,638,33,1335042,1337043,yes
695,639,31,784443,771308,yes
696,640,32,1362203,1360743,yes
697,92,34,402119,388106,yes
698,641,33,2393164,2389627,yes
699,358,34,769228,778855,yes
700,642,29,195085,199183,yes
701,643,30,408102,394130,yes
702,644,35,1081556,1084593,yes
703,645,31,756223,767204,yes
704,646,28,98286,97921,yes
705,647,35,775983,778020,yes
706,396,30,391884,392078,yes
707,648,26,6086,6199,yes
708,162,38,275573,276943,yes
709,649,30,49311,49267,yes
710,650,36,421824,422858,yes
711,651,27,52636,48871,yes
712,652,30,396347,392955,yes
713,653,28,48826,48922,yes
714,654,32,1494679,1495757,yes
715,32,34,764321,764308,yes
716,655,29,98033,98105,yes
717,656,28,53234,49123,yes
718,657,35,461672,464937,yes
719,658,33,1385638,1391489,yes
720,451,34,98579,98184,yes
721,659,34,1356509,1364107,yes
722,660,29,101627,98682,yes
723,661,32,1438771,1435931,yes
724,662,32,754922,763847,yes
725,663,35,1640299,1647651,yes
726,664,36,1447893,1448040,yes
727,640,31,195957,196321,yes
728,665,29,105894,101891,yes
729,365,36,201928,202540,yes
730,666,30,388759,400167,yes
731,667,30,393699,409976,yes
732,668,39,566665,568661,yes
733,669,28,97845,98026,yes
734,670,32,1426626,1419083,yes
735,671,25,12189,12274,yes
736,672,30,392201,407406,yes
737,673,29,200444,204124,yes
738,29,34,779307,785254,yes
739,674,31,776671,771997,yes
740,675,27,12506,12366,yes
741,676,30,387479,391745,yes
742,677,29,200052,200251,yes
743,678,32,753431,755016,yes
744,679,28,98804,102811,yes
745,680,32,782058,777784,yes
746,681,30,200185,198507,yes
747,682,31,770496,781494,yes
748,38,27,12284,12469,yes
749,637,30,49419,49517,yes
750,683,27,24774,24867,yes
751,684,31,395133,388739,yes
752,685,31,395547,396980,yes
753,686,29,207872,198666,yes
754,687,28,102530,100102,yes
755,688,31,772154,765966,yes
756,689,35,821422,822875,yes
757,690,31,398814,398687,yes
758,691,29,196200,203487,yes
759,692,38,167429,167424,yes
760,693,29,97684,97556,yes
761,694,27,49235,48943,yes
762,695,31,775377,777403,yes
763,696,36,122447,122290,yes
764,139,33,389710,387784,yes
765,487,34,755279,750751,yes
766,697,33,1411194,1409976,yes
767,698,30,53204,49268,yes
768,50,31,98402,106024,yes
769,699,31,775404,763574,yes
770,28,32,394779,393541,yes
771,679,27,6069,6087,yes
772,700,29,196486,204212,yes
773,701,29,195580,200662,yes
774,702,28,98626,106074,yes
775,703,30,387154,394797,yes
776,704,28,48911,52899,yes
777,705,30,196847,195498,yes
778,698,31,393678,396922,yes
779,706,28,105859,98448,yes
780,707,28,24278,24054,yes
781,76,38,44752,44509,yes
782,708,26,24606,24563,yes
783,709,29,204225,198945,yes
784,710,32,763207,779941,yes
785,711,27,53400,49164,yes
786,519,31,97969,97843,yes
787,647,34,1504449,1486768,yes
788,187,34,196737,208186,yes
789,260,32,200737,200421,yes
790,712,32,770985,770909,yes
791,713,30,394810,402711,yes
792,714,29,102427,98308,yes
793,715,30,397754,397525,yes
794,716,30,392494,394087,yes
795,717,30,389385,391841,yes
796,718,28,102529,97639,yes
797,719,32,399908,400278,yes
798,720,29,49250,49241,yes
799,721,31,390437,401843,yes
800,722,31,390312,390451,yes
801,723,30,203738,203766,yes
802,724,30,395749,395991,yes
803,725,31,748327,761257,yes
804,726,35,220675,221816,yes
805,727,29,101373,101713,yes
806,648,27,48868,49175,yes
807,728,30,199373,203173,yes
808,729,30,390829,398755,yes
809,730,31,200435,199866,yes
810,731,29,98559,98352,yes
811,732,29,98559,98622,yes
812,121,31,98651,98866,yes
813,733,31,196812,203766,yes
814,734,30,97949,98168,yes
815,735,27,49102,49223,yes
816,736,31,392139,398093,yes
817,284,33,394319,403355,yes
818,737,26,24594,24942,yes
819,658,32,196102,198933,yes
820,738,29,106212,102740,yes
821,6,32,392443,396599,yes
822,739,28,101849,98388,yes
823,740,35,194395,196271,yes
824,741,28,98422,98298,yes
825,742,29,198969,199600,yes
826,353,35,395852,388135,yes
827,244,33,203684,207206,yes
828,743,31,396301,399005,yes
829,744,30,399167,397951,yes
830,745,28,98091,102014,yes
831,746,29,99187,102120,yes
832,661,31,204638,200071,yes
833,747,29,196311,196755,yes
834,748,30,414939,395488,yes
835,749,29,195582,200683,yes
836,750,29,196170,196657,yes
837,751,30,394744,394696,yes
838,752,25,16031,12361,yes
839,753,32,763764,767977,yes
840,754,29,196005,196110,yes
841,216,34,398414,394539,yes
842,755,29,208079,200313,yes
843,756,36,229215,228644,yes
844,757,24,6054,6156,yes
845,758,36,177268,178634,yes
846,759,25,12097,16288,yes
847,377,34,397621,392045,yes
848,760,32,1351862,1355168,yes
849,761,27,52549,48968,yes
850,762,30,401537,390020,yes
851,678,31,98776,109786,yes
852,763,31,788412,792156,yes
853,764,30,389735,406064,yes
854,765,30,199563,206666,yes
855,742,28,12206,12544,yes
856,766,29,203957,204047,yes
857,767,32,773244,782638,yes
858,768,28,48814,56848,yes
859,769,30,389231,394413,yes
860,770,30,210250,194864,yes
861,771,30,196011,207430,yes
862,772,36,331359,330684,yes
863,2,37,298349,298805,yes
864,773,35,489684,489815,yes
865,357,31,98089,98612,yes
866,774,31,776751,801311,yes
867,775,29,200934,199224,yes
868,776,27,48829,49067,yes
869,777,28,53397,49183,yes
870,778,27,49060,48746,yes
871,779,31,396081,395544,yes
872,780,26,24556,24353,yes
873,781,29,203542,196985,yes
874,410,31,197016,196420,yes
875,782,31,402053,397510,yes
876,783,28,98861,102706,yes
