core_id,plus,minus,plane
1911,180,201,yes
1912,343,397,yes
1913,43,47,yes
1914,59,55,yes
1915,458,426,yes
1916,176,211,yes
1917,15,28,yes
1918,429,415,yes
1919,16,9,yes
1920,189,199,yes
1921,378,353,yes
1922,101,90,yes
1923,759,801,yes
1924,769,684,yes
1925,51,41,yes
1926,94,90,yes
1927,27,14,yes
1928,205,200,yes
1929,211,193,yes
1930,98,100,yes
1931,387,406,yes
1932,48,51,yes
1933,361,360,yes
1934,7,7,yes
1935,192,203,yes
1936,998,859,yes
1937,363,408,yes
1938,116,106,yes
1939,44,56,yes
1940,410,470,yes
1941,357,394,yes
1942,199,235,yes
1943,205,201,yes
1944,97,88,yes
1945,3,7,yes
1946,23,27,yes
1947,193,188,yes
1948,190,177,yes
1949,92,100,yes
1950,810,791,yes
1951,87,108,yes
1952,56,57,yes
1953,2,0,no
1954,207,211,yes
1955,43,39,yes
1956,94,87,yes
1957,44,60,yes
1958,28,30,yes
1959,53,44,yes
1960,50,65,yes
1961,216,184,yes
1962,57,38,yes
1963,196,212,yes
1964,179,202,yes
1965,32,30,yes
1966,215,192,yes
1967,213,205,yes
1968,36,28,yes
1969,77,107,yes
1970,57,37,yes
1971,3733,3741,yes
1972,59,47,yes
1973,22,36,yes
1974,105,71,yes
1975,85,88,yes
1976,88,121,yes
1977,53,54,yes
1978,8,7,yes
1979,404,406,yes
1980,16,12,yes
1981,104,101,yes
1982,11,7,yes
1983,18,17,yes
1984,364,363,yes
1985,56,50,yes
1986,3215,3175,yes
1987,56,51,yes
1988,8,8,yes
1989,105,84,yes
1990,222,244,yes
1991,35,17,yes
1992,210,193,yes
1993,104,85,yes
1994,89,129,yes
1995,163,207,yes
1996,15,24,yes
1997,7,7,yes
1998,58,48,yes
1999,431,418,yes
2000,89,97,yes
2001,8,12,yes
2002,65,75,yes
2003,22,21,yes
2004,24,24,yes
2005,21,17,yes
2006,18,30,yes
2007,759,762,yes
2008,23,29,yes
2009,37,55,yes
2010,10,16,yes
2011,28,24,yes
2012,207,187,yes
2013,83,96,yes
2014,26,22,yes
2015,18,21,yes
2016,396,340,yes
2017,188,208,yes
2018,179,173,yes
2019,198,213,yes
2020,179,196,yes
2021,91,81,yes
2022,601,579,yes
2023,185,198,yes
2024,50,40,yes
2025,108,93,yes
2026,15,8,yes
2027,189,216,yes
2028,32,18,yes
2029,88,100,yes
2030,4,5,yes
2031,14,27,yes
2032,111,96,yes
2033,5,4,yes
2034,189,225,yes
2035,88,92,yes
2036,23,25,yes
2037,99,91,yes
2038,1453,1524,yes
2039,13,9,yes
2040,125,123,yes
2041,80,114,yes
2042,34,27,yes
2043,180,192,yes
2044,48,47,yes
2045,6,10,yes
2046,88,110,yes
2047,1072,963,yes
2048,57,69,yes
2049,90,96,yes
2050,89,93,yes
2051,9,10,yes
2052,216,184,yes
2053,2,1,yes
2054,90,90,yes
2055,34,32,yes
2056,205,186,yes
2057,25,39,yes
2058,94,105,yes
2059,43,43,yes
2060,103,91,yes
2061,105,81,yes
2062,90,77,yes
2063,16,11,yes
2064,90,117,yes
2065,239,205,yes
2066,92,84,yes
2067,100,93,yes
2068,49,49,yes
2069,89,84,yes
2070,18,16,yes
2071,45,38,yes
2072,99,99,yes
2073,109,104,yes
2074,48,57,yes
2075,169,168,yes
2076,40,47,yes
2077,15,17,yes
2078,16,7,yes
2079,56,91,yes
2080,31,35,yes
2081,18,10,yes
2082,195,169,yes
2083,31,18,yes
2084,20,23,yes
2085,14,13,yes
2086,98,111,yes
2087,27,27,yes
2088,43,42,yes
2089,4227,4209,yes
2090,9,17,yes
2091,188,161,yes
2092,4,5,yes
2093,174,193,yes
2094,101,109,yes
2095,16,15,yes
2096,11,15,yes
2097,3,3,yes
2098,8,5,yes
2099,49,52,yes
2100,95,99,yes
2101,200,205,yes
2102,107,92,yes
2103,41,57,yes
2104,13,18,yes
2105,15,13,yes
2106,53,51,yes
2107,48,64,yes
2108,6,1,yes
2109,71,87,yes
2110,50,59,yes
2111,1747,1264,yes
2112,5,8,yes
2113,35,25,yes
2114,32,25,yes
2115,117,112,yes
2116,53,43,yes
2117,17,12,yes
2118,5,4,yes
2119,65,45,yes
2120,18,17,yes
2121,42,41,yes
2122,89,104,yes
2123,38,40,yes
2124,21,27,yes
2125,27,24,yes
2126,3,10,yes
2127,53,56,yes
